table_id,dispatch_site,text_addr,selector,table_rodata_off,index,target_addr,notes
JT3_STATE_POST,c24b,0x0000c24b,current state <=0x10,0x0340,15,0x0000c272,state->8 and reneg window init
JT3_STATE_POST,c24b,0x0000c24b,current state <=0x10,0x0340,16,0x0000c252,state->0xa
JT4_DELAY_SELECT,c49c,0x0000c49c,*(ctx+0xabe0) <=0x0d,0x0384,0,0x0000c252,direct state->0xa
JT4_DELAY_SELECT,c49c,0x0000c49c,*(ctx+0xabe0) <=0x0d,0x0384,1,0x0000cadb,delay=0
JT4_DELAY_SELECT,c49c,0x0000c49c,*(ctx+0xabe0) <=0x0d,0x0384,2,0x0000cad1,delay=0x0a
JT4_DELAY_SELECT,c49c,0x0000c49c,*(ctx+0xabe0) <=0x0d,0x0384,3,0x0000cac7,delay=0x14
JT4_DELAY_SELECT,c49c,0x0000c49c,*(ctx+0xabe0) <=0x0d,0x0384,4,0x0000cabd,delay=0x1e
JT4_DELAY_SELECT,c49c,0x0000c49c,*(ctx+0xabe0) <=0x0d,0x0384,5,0x0000cab3,delay=0x28
JT4_DELAY_SELECT,c49c,0x0000c49c,*(ctx+0xabe0) <=0x0d,0x0384,6,0x0000caa9,delay=0x3c
JT4_DELAY_SELECT,c49c,0x0000c49c,*(ctx+0xabe0) <=0x0d,0x0384,7,0x0000ca9f,delay=0x78
JT4_DELAY_SELECT,c49c,0x0000c49c,*(ctx+0xabe0) <=0x0d,0x0384,8,0x0000ca95,delay=0xb4
JT4_DELAY_SELECT,c49c,0x0000c49c,*(ctx+0xabe0) <=0x0d,0x0384,9,0x0000ca8e,delay=0xf0
JT4_DELAY_SELECT,c49c,0x0000c49c,*(ctx+0xabe0) <=0x0d,0x0384,10,0x0000ca87,delay=0x168
JT4_DELAY_SELECT,c49c,0x0000c49c,*(ctx+0xabe0) <=0x0d,0x0384,11,0x0000ca80,delay=0x1e0
JT4_DELAY_SELECT,c49c,0x0000c49c,*(ctx+0xabe0) <=0x0d,0x0384,12,0x0000ca16,delay=0x2d0
JT4_DELAY_SELECT,c49c,0x0000c49c,*(ctx+0xabe0) <=0x0d,0x0384,13,0x0000cdbd,delay=0x3c0
JT5_V90_RET,c805,0x0000c805,v90RunDemodulator() return <=8,0x03bc,0,0x0000c911,state->2 and cleanup path
JT5_V90_RET,c805,0x0000c805,v90RunDemodulator() return <=8,0x03bc,1,0x0000ca07,state->3
JT5_V90_RET,c805,0x0000c805,v90RunDemodulator() return <=8,0x03bc,2,0x0000cb29,state->5 and bitrate snapshot
JT5_V90_RET,c805,0x0000c805,v90RunDemodulator() return <=8,0x03bc,3,0x0000cafe,state->5 with CP flags
JT5_V90_RET,c805,0x0000c805,v90RunDemodulator() return <=8,0x03bc,4,0x0000cc01,state->0xb and reset timer
JT5_V90_RET,c805,0x0000c805,v90RunDemodulator() return <=8,0x03bc,5,0x0000cbcf,retrain reason 0x22
JT5_V90_RET,c805,0x0000c805,v90RunDemodulator() return <=8,0x03bc,6,0x0000cbec,retrain reason 0x5a
JT5_V90_RET,c805,0x0000c805,v90RunDemodulator() return <=8,0x03bc,7,0x0000ca07,state->3
JT5_V90_RET,c805,0x0000c805,v90RunDemodulator() return <=8,0x03bc,8,0x0000cbb3,state->0xa, aux->0x10
